Wavelength	Xsec_Ave	STTDEV_Xsec_Ave
191.64326		
191.64414		
191.64503		
191.64591		
191.6468		
191.64769		
191.64857		
191.64946		
191.65034		
191.65123		
191.65211		
191.653		
191.65388		
191.65477		
191.65566		
191.65654		
191.65743		
191.65831		
191.6592		
191.66008		
191.66097		
191.66185		
191.66274		
191.66363		
191.66451		
191.6654		
191.66628		
191.66717		
191.66805		
191.66894		
191.66983		
191.67071		
191.6716		
191.67248		
191.67337		
191.67425		
191.67514		
191.67603		
191.67691		
191.6778		
191.67868		
191.67957		
191.68045		
191.68134		
191.68223		
191.68311		
191.684		
191.68488		
191.68577		
191.68665		
191.68754		
191.68843		
191.68931		
191.6902		
191.69108		
191.69197		
191.69286		
191.69374		
191.69463		
191.69551		
191.6964		
191.69729		
191.69817		
191.69906		
191.69994		
191.70083		
191.70172		
191.7026		
191.70349		
191.70437		
191.70526		
191.70615		
191.70703		
191.70792		
191.7088		
191.70969		
191.71058		
191.71146		
191.71235		
191.71323		
191.71412		
191.71501		
191.71589		
191.71678		
191.71766		
191.71855		
191.71944		
191.72032		
191.72121		
191.72209		
191.72298		
191.72387		
191.72475		
191.72564		
191.72653		
191.72741		
191.7283		
191.72918		
191.73007		
191.73096		
191.73184		
191.73273		
191.73362		
191.7345		
191.73539		
191.73627		
191.73716		
191.73805		
191.73893		
191.73982		
191.74071		
191.74159		
191.74248		
191.74337		
191.74425		
191.74514		
191.74602		
191.74691		
191.7478		
191.74868		
191.74957		
191.75046		
191.75134		
191.75223		
191.75312	3.0845147865080453e-18	
191.754		
191.75489		
191.75578		
191.75666		
191.75755		
191.75843		
191.75932		
191.76021		
191.76109		
191.76198		
191.76287		
191.76375		
191.76464		
191.76553		
191.76641		
191.7673		
191.76819		
191.76907		
191.76996		
191.77085		
191.77173		
191.77262		
191.77351		
191.77439		
191.77528		
191.77617		
191.77705		
191.77794		
191.77883		
191.77971		
191.7806		
191.78149		
191.78237		
191.78326		
191.78415		
191.78503		
191.78592		
191.78681		
191.78769		
191.78858		
191.78947		
191.79035		
191.79124		
191.79213		
191.79301		
191.7939		
191.79479		
191.79567		
191.79656		
191.79745		
191.79834		
191.79922		
191.80011		
191.801		
191.80188		
191.80277		
191.80366		
191.80454		
191.80543		
191.80632		
191.8072		
191.80809		
191.80898		
191.80987		
191.81075		
191.81164		
191.81253		
191.81341		
191.8143		
191.81519		
191.81607		
191.81696		
191.81785		
191.81874		
191.81962		
191.82051		
191.8214		
191.82228		
191.82317		
191.82406		
191.82495		
191.82583		
191.82672		
191.82761		
191.82849		
191.82938		
191.83027		
191.83116		
191.83204		
191.83293		
191.83382		
191.8347		
191.83559		
191.83648		
191.83737		
191.83825		
191.83914		
191.84003		
191.84091		
191.8418		
191.84269		
191.84358		
191.84446		
191.84535		
191.84624		
191.84713		
191.84801		
191.8489		
191.84979		
191.85068		
191.85156		
191.85245		
191.85334		
191.85422		
191.85511		
191.856		
191.85689		
191.85777		
191.85866		
191.85955		
191.86044		
191.86132		
191.86221		
191.8631		
191.86399		
191.86487		
191.86576		
191.86665		
191.86754		
191.86842		
191.86931		
191.8702		
191.87109		
191.87197		
191.87286		
191.87375		
191.87464		
191.87552		
191.87641		
191.8773		
191.87819		
191.87907		
191.87996		
191.88085		
191.88174		
191.88263		
191.88351		
191.8844		
191.88529		
191.88618		
191.88706		
191.88795		
191.88884		
191.88973		
191.89061		
191.8915		
191.89239		
191.89328		
191.89417		
191.89505		
191.89594		
191.89683		
191.89772		
191.8986		
191.89949		
191.90038		
191.90127		
191.90216		
191.90304		
191.90393		
191.90482		
191.90571		
191.90659		
191.90748		
191.90837		
191.90926		
191.91015		
191.91103		
191.91192		
191.91281		
191.9137		
191.91459		
191.91547		
191.91636		
191.91725		
191.91814		
191.91903		
191.91991		
191.9208		
191.92169		
191.92258		
191.92347		
191.92435		
191.92524		
191.92613		
191.92702		
191.92791		
191.92879		
191.92968		
191.93057		
191.93146		
191.93235		
191.93323		
191.93412		
191.93501		
191.9359		
191.93679		
191.93768		
191.93856		
191.93945		
191.94034		
191.94123		
191.94212		
191.943		
191.94389		
191.94478		
191.94567		
191.94656		
191.94745		
191.94833		
191.94922		
191.95011		
191.951		
191.95189		
191.95278		
191.95366		
191.95455		
191.95544		
191.95633		
191.95722		
191.95811		
191.95899		
191.95988		
191.96077		
191.96166		
191.96255		
191.96344		
191.96432		
191.96521		
191.9661		
191.96699		
191.96788		
191.96877		
191.96965		
191.97054		
191.97143		
191.97232		
191.97321		
191.9741		
191.97499		
191.97587		
191.97676		
191.97765		
191.97854		
191.97943		
191.98032		
191.98121		
191.98209		
191.98298		
191.98387		
191.98476		
191.98565		
191.98654		
191.98743		
191.98831		
191.9892		
191.99009		
191.99098		
191.99187		
191.99276		
191.99365		
191.99453		
